Date,Open,High,Low,Close*,Adj Close**
30-12-2022,"1,817.00","1,822.30","1,816.80","1,819.70","1,819.70"
29-12-2022,"1,805.80","1,819.50","1,805.80","1,819.50","1,819.50"
28-12-2022,"1,803.20","1,807.90","1,803.10","1,807.90","1,807.90"
27-12-2022,"1,803.40","1,826.30","1,803.40","1,814.80","1,814.80"
23-12-2022,"1,794.30","1,802.80","1,794.10","1,795.90","1,795.90"
22-12-2022,"1,818.10","1,818.10","1,785.00","1,787.00","1,787.00"
21-12-2022,"1,817.40","1,821.40","1,814.40","1,815.90","1,815.90"
20-12-2022,"1,786.50","1,821.40","1,786.50","1,815.90","1,815.90"
19-12-2022,"1,791.60","1,796.30","1,785.60","1,787.70","1,787.70"
16-12-2022,"1,777.90","1,791.40","1,777.90","1,790.00","1,790.00"
15-12-2022,"1,801.00","1,801.00","1,774.80","1,777.20","1,777.20"
14-12-2022,"1,810.80","1,812.80","1,797.90","1,807.50","1,807.50"
13-12-2022,"1,780.70","1,819.80","1,780.50","1,813.90","1,813.90"
12-12-2022,"1,787.30","1,793.90","1,777.70","1,780.50","1,780.50"
09-12-2022,"1,794.90","1,804.30","1,791.10","1,798.10","1,798.10"
08-12-2022,"1,782.00","1,790.90","1,782.00","1,788.70","1,788.70"
07-12-2022,"1,769.30","1,790.30","1,769.30","1,785.50","1,785.50"
06-12-2022,"1,768.60","1,779.40","1,767.90","1,769.30","1,769.30"
05-12-2022,"1,795.70","1,808.00","1,764.30","1,767.40","1,767.40"
02-12-2022,"1,802.00","1,802.30","1,779.40","1,795.90","1,795.90"
01-12-2022,"1,768.70","1,803.70","1,768.70","1,801.10","1,801.10"
