Date,Open,High,Low,Close*,Adj Close**
30-12-2022,"1,817.00","1,822.30","1,816.80","1,819.70","1,819.70"
01-12-2022,1768.7,1826.3,1764.3,1819.7,1819.7
31-10-2022,1630.8,1778.9,1615.1,1746,1746
30-09-2022,1667.2,1728,1622.8,1635.9,1635.9
31-08-2022,1707.9,1728.1,1620.4,1662.4,1662.4
31-07-2022,1763.9,1804.9,1708.5,1712.8,1712.8
30-06-2022,1795.5,1806.1,1679.8,1762.9,1762.9
31-05-2022,1831,1875.6,1801,1804.1,1804.1
31-03-2022,1935,1997.1,1872.9,1909.3,1909.3
01-03-2022,1908.3,2072,1893.5,1949.2,1949.2
01-02-2022,1797.2,1972.5,1787.9,1899.4,1899.4
01-01-2022,1830.1,1852.7,1778.8,1795,1795
