Date,Open,High,Low,Close*,Adj Close**
03-01-2023,1836.2,1839.7,1836.2,1839.7,1839.7
01-01-2022,1830.1,1852.7,1778.8,1795,1795
01-01-2021,1912.2,1959.9,1802,1847.3,1847.3
01-01-2020,1518.1,1604.2,1518,1582.9,1582.9
01-01-2019,1286,1325.4,1275.3,1319.7,1319.7
01-01-2018,1302.3,1362.4,1302.3,1339,1339
01-02-2017,1211.9,1263.1,1197.9,1252.6,1252.6
01-01-2016,1063.4,1125.7,1063.2,1116.4,1116.4
01-01-2015,1184,1303.5,1169.5,1278.5,1278.5
01-01-2014,1204.3,1269.4,1204.3,1240.1,1240.1
02-01-2013,1672.8,1693.8,1670,1687.9,1687.9
03-01-2012,1568.9,1604.3,1566,1599.7,1599.7
